CustomerID,Age,Gender,Location,Tenure,Number_of_Orders,Average_Order_Value,Total_Spending,Last_Purchase_Days_Ago,Payment_Method,Discount_Used,Satisfaction_Score,App_Usage_Time,Customer_Support_Calls,Returned_Orders,Churn
CUST000001,43,Male,Pune,64,172,1062.61,189634.52,8,Debit Card,1,6,30.6,1,14,No
CUST000002,36,Male,Bangalore,3,6,2087.05,10282.52,1,Credit Card,1,6,30.4,2,1,No
CUST000003,45,Female,Chennai,8,12,4653.05,52995.36,23,Wallet,0,10,2.6,0,0,No
CUST000004,56,Female,Delhi,30,87,1685.99,119184.05,15,Debit Card,1,2,9.5,2,7,No
CUST000005,35,Male,Kolkata,19,31,2232.96,63471.9,46,Debit Card,1,8,0.5,2,7,No
CUST000006,35,Male,Ahmedabad,60,159,2609.67,344025.2,147,Net Banking,0,8,23.9,1,10,No
CUST000007,56,Male,Hyderabad,13,20,2721.67,58331.45,47,Net Banking,1,9,92.3,0,0,Yes
CUST000008,47,Female,Mumbai,5,5,1677.34,9727.18,3,Credit Card,0,10,4.4,2,0,Yes
CUST000009,32,Male,Chennai,1,1,1882.24,2084.17,15,Net Banking,1,3,42.2,1,0,Yes
CUST000010,44,Male,Delhi,16,47,2657.3,140604.5,70,Credit Card,1,6,14.6,6,9,Yes
CUST000011,32,Male,Bangalore,38,38,5658.35,206472.65,47,Credit Card,1,3,11.2,2,3,Yes
CUST000012,32,Female,Hyderabad,3,6,1395.75,10003.25,23,Credit Card,1,5,15.3,1,0,No
CUST000013,40,Female,Mumbai,49,36,7482.93,237998.03,10,Debit Card,1,6,55.8,2,1,No
CUST000014,18,Female,Delhi,34,31,1432.91,47547.63,100,Debit Card,0,8,4.2,2,1,Yes
CUST000015,18,Female,Hyderabad,3,7,888.94,5746.9,98,UPI,1,6,20.5,0,0,No
CUST000016,31,Female,Mumbai,25,74,2201.27,184000.12,7,Debit Card,1,7,46.0,0,17,No
CUST000017,25,Female,Chennai,19,48,2670.33,131487.68,83,UPI,0,6,18.2,0,26,No
CUST000018,41,Male,Delhi,6,17,1098.5,18604.16,71,UPI,1,6,14.2,3,1,No
CUST000019,27,Female,Kolkata,19,55,903.85,41909.78,36,Wallet,1,7,0.1,3,18,No
CUST000020,21,Female,Pune,1,2,1982.71,3569.76,123,Debit Card,0,6,14.3,2,0,No
CUST000021,55,Female,Kolkata,1,1,1767.34,1575.96,39,Debit Card,0,9,18.2,4,0,No
CUST000022,35,Male,Mumbai,20,45,1668.41,76032.63,10,Credit Card,1,6,2.5,1,3,Yes
CUST000023,38,Male,Ahmedabad,6,3,1188.78,3790.67,7,UPI,1,2,2.1,4,0,No
CUST000024,20,Female,Mumbai,19,53,1779.11,86894.93,90,Debit Card,0,10,3.8,1,10,No
